dataset_versions,backend,category,unique_tasks,measurement_attempts,successful_measurements,failed_measurements,success_rate,scored_measurements,mean_score,median_latency_ms,median_ttft_ms,median_output_tokens_per_second,peak_gpu_memory_mib,stable_response_tasks
synthetic-docs-v1,qwen3-vl,chart-qa,8,24,24,0,1.000000,24,0.625000,318.159750,185.074300,11.209564,4178.313477,8
synthetic-docs-v1,qwen3-vl,document-key-value,10,30,30,0,1.000000,30,0.900000,384.419400,185.531450,12.638610,4180.354004,10
synthetic-docs-v1,qwen3-vl,document-ocr,6,18,18,0,1.000000,18,0.833333,518.974000,178.668100,15.956078,4178.036133,6
synthetic-docs-v1,qwen3-vl,table-qa,8,24,24,0,1.000000,24,0.500000,316.105550,185.890300,11.224171,4179.838867,8
synthetic-docs-v1,smolvlm2,chart-qa,8,24,24,0,1.000000,24,0.375000,552.144650,308.496450,10.446499,1265.244629,8
synthetic-docs-v1,smolvlm2,document-key-value,10,30,30,0,1.000000,30,0.900000,602.626100,307.511250,13.067352,1265.250000,10
synthetic-docs-v1,smolvlm2,document-ocr,6,18,18,0,1.000000,18,1.000000,724.532000,309.045500,15.365284,1265.248047,6
synthetic-docs-v1,smolvlm2,table-qa,8,24,24,0,1.000000,24,0.250000,520.008450,306.984500,9.721360,1265.248047,8
synthetic-v1.1,qwen3-vl,counting,3,9,9,0,1.000000,9,1.000000,160.514700,105.966100,12.830316,4089.328125,3
synthetic-v1.1,qwen3-vl,image-description,2,6,6,0,1.000000,6,1.000000,1548.998300,115.303550,29.389701,4092.353516,2
synthetic-v1.1,qwen3-vl,spatial-reasoning,4,12,12,0,1.000000,12,1.000000,197.787050,107.232900,13.702577,4093.285156,4
synthetic-v1.1,qwen3-vl,visual-comparison,1,3,3,0,1.000000,3,1.000000,182.450300,106.965700,11.317114,4090.113281,1
synthetic-v1.1,smolvlm2,counting,3,9,9,0,1.000000,9,1.000000,379.020800,256.728800,9.513803,1265.239258,3
synthetic-v1.1,smolvlm2,image-description,2,6,6,0,1.000000,6,0.500000,655.794350,257.074900,19.895113,1265.239258,2
synthetic-v1.1,smolvlm2,spatial-reasoning,4,12,12,0,1.000000,12,0.583333,385.486800,259.341000,9.380374,1265.279297,4
synthetic-v1.1,smolvlm2,visual-comparison,1,3,3,0,1.000000,3,1.000000,387.295000,257.362700,9.482871,1265.246582,1
