dataset_versions,backend,category,unique_tasks,measurement_attempts,successful_measurements,failed_measurements,success_rate,scored_measurements,mean_score,median_latency_ms,median_ttft_ms,median_output_tokens_per_second,peak_gpu_memory_mib,stable_response_tasks
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,attribute-recognition,24,72,72,0,1.000000,72,0.958333,178.263600,109.167850,11.698330,4089.453125,24
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,chart-qa,8,24,24,0,1.000000,24,0.625000,271.790150,164.396500,13.164687,4179.395508,8
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,counting,6,18,18,0,1.000000,18,1.000000,180.041500,105.455050,11.557317,4089.453125,6
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,document-key-value,10,30,30,0,1.000000,30,0.900000,329.741050,165.854050,15.772481,4180.455566,10
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,document-ocr,6,18,18,0,1.000000,18,0.833333,480.086200,172.735800,18.045958,4179.129883,6
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,event-order,4,12,12,0,1.000000,12,0.000000,381.016850,100.542250,21.067781,4096.037598,4
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,image-description,2,6,6,0,1.000000,6,1.000000,1657.563300,110.091000,26.396577,4092.103516,2
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,motion-direction,4,12,12,0,1.000000,12,0.500000,193.985850,95.624650,13.221333,4096.183594,4
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,occlusion-reasoning,3,9,9,0,1.000000,9,0.666667,178.275100,108.577800,11.739108,4089.845703,3
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,spatial-reasoning,10,30,30,0,1.000000,30,0.800000,190.806450,109.493750,12.947097,4093.410156,10
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,state-change,3,9,9,0,1.000000,9,1.000000,214.719000,108.858600,12.185641,4097.328613,3
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,table-qa,8,24,24,0,1.000000,24,0.500000,272.926250,167.508750,13.110408,4179.924805,8
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,temporal-counting,5,15,15,0,1.000000,15,0.800000,197.961600,99.612800,13.210563,4097.458984,5
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",qwen3-vl,temporal-position,8,24,24,0,1.000000,24,0.750000,219.780450,109.994500,11.393060,4097.328613,8
